zi	pinyin
儧	zǎn
優	yōu
償	cháng
儲	chǔ
儤	bào
儦	biāo
儥	yù
儬	qìng
儠	liè
儢	lǚ
儩	sì
儰	wěi
儨	zhì
儭	chèn
儵	shū
儮	lì
儯	téng
儱	lǒng
儴	ráng
儳	chán
儶	huì
儸	luó
儺	nuó
儷	lì
儼	yǎn
儹	zǎn
儻	tǎng
儽	lěi
儾	nàng
入	rù
兦	wáng
內	nèi
全	quán
兪	yú
十	shí
千	qiān
卄	niàn
卂	xùn
卅	sà
升	shēng
卐	wàn
午	wǔ
卍	wàn
卆	zú
半	bàn
卉	huì
卌	xì
华	huá,huà,huā
协	xié
卋	shì
克	kè
卑	bēi
单	chán,dān,shàn
卒	cù,zú
卖	mài
卓	zhuó
協	xié
南	nā,nán
単	dān
卙	jí
博	bó
亁	qián
喪	sāng
卛	shuài
厶	sī
厷	gōng
厸	lín
厹	róu
去	qù
厼	ke wu mu
厺	qù
厾	dū
厽	lěi
县	xiàn,xuán
亝	qí
参	cān,cēn,sān,shēn
叁	sān
叀	zhuān
參	cān
叄	cān
叅	cān
叆	ài
叇	dài
亠	tóu
亡	wáng,wú
亢	kàng
亣	dà
充	chōng
产	chǎn
亥	hài
交	jiāo
亦	yì
亨	hēng
亩	mǔ
亪	ye
京	jīng
享	xiǎng
兖	yǎn
亮	liàng
亲	qīn,qìng
亭	tíng
亱	yè
亰	jīng
亯	xiǎng
兗	yǎn
亳	bó
亵	xiè
亴	yòu
亶	dàn,dǎn
亷	lián
亸	duǒ
亹	mén,wěi
匸	xì
讠	yán
订	dìng
讣	fù
讥	jī
计	jì
认	rèn
讧	hòng
记	jì
讦	jié
讫	qì
让	ràng
讱	rèn
讪	shàn
讨	tǎo
讯	xùn
训	xùn
议	yì
讬	tuō
讹	é
访	fǎng
讽	fěng
讳	huì
讲	jiǎng
讵	jù
诀	jué
论	lún,lùn
讷	nè
讴	ōu
设	shè
讼	sòng
讻	xiōng
许	xǔ
讶	yà
诐	bì
词	cí
诋	dǐ
诂	gǔ
评	píng
诎	qū
识	shí,zhì
诉	sù
诇	xiòng
译	yì
诈	zhà
诏	zhào
诊	zhěn
证	zhèng
诌	zhōu
诅	zǔ
诃	hē
诒	yí
诧	chà
诚	chéng
诞	dàn
该	gāi
诟	gòu
诖	guà
诡	guǐ
话	huà
诙	huī
诨	hǔn
诘	jié
诓	kuāng
诔	lěi
诠	quán
诜	shēn
诗	shī
试	shì
详	xiáng
诩	xǔ
询	xún
诣	yì
诤	zhèng,zhēng
诛	zhū
诶	āi
诰	gào
诲	huì
诫	jiè
诳	kuáng
诮	qiào
说	shuì,shuō,tuō,yuè
诵	sòng
诬	wū
误	wù
诱	yòu
语	yù,yǔ
诪	zhōu
谄	chǎn
调	diào,tiáo,zhōu
读	dòu,dú
诽	fěi
课	kè
谅	liàng
诺	nuò
请	qǐng
谁	shéi,shuí
谂	shěn
谉	shěn
谇	suì
诿	wěi
谊	yì
谀	yú
诸	zhū
谆	zhūn
诼	zhuó
诹	zōu
谈	tán
谙	ān
谗	chán
谌	chén
谛	dì
谍	dié
谔	ě
谎	huǎng
谏	jiàn
谜	mèi,mí
谋	móu
谝	piǎn
谓	wèi
谐	xié
谞	xū
谖	xuān
谑	xuè
谚	yàn
谒	yè
谕	yù
谘	zī
谤	bàng
谠	dǎng
谧	mì
谟	mó
谦	qiān
谥	shì
谡	sù
谢	xiè
谣	yáo
谫	jiǎn
谨	jǐn
谩	mán,màn
谬	miù
谪	zhé
谲	jué
谰	lán
谱	pǔ
谯	qiáo,qiào
谭	tán
谮	zèn
谴	qiǎn
谳	yàn
谵	zhān
谶	chèn
